SA2_Code,Area_Name,Relationship,TA_Code,TA_Name,X6
100100,North Cape,Many To One Map,001,Far North District,NA
100200,Rangaunu Harbour,Many To One Map,001,Far North District,NA
100301,Inlets Far North District,Many To One Map,001,Far North District,NA
100400,Karikari Peninsula,Many To One Map,001,Far North District,NA
100500,Tangonge,Many To One Map,001,Far North District,NA
100600,Ahipara,Many To One Map,001,Far North District,NA
100700,Kaitaia East,Many To One Map,001,Far North District,NA
100800,Kaitaia West,Many To One Map,001,Far North District,NA
100900,Rangitihi,Many To One Map,001,Far North District,NA
101000,Oruru-Parapara,Many To One Map,001,Far North District,NA
101101,Doubtless Bay,Many To One Map,001,Far North District,NA
101200,Herekino-Takahue,Many To One Map,001,Far North District,NA
101300,Peria,Many To One Map,001,Far North District,NA
101400,Taemaro-Oruaiti,Many To One Map,001,Far North District,NA
101500,Whakapaku,Many To One Map,001,Far North District,NA
101600,Hokianga North,Many To One Map,001,Far North District,NA
101700,Kohukohu-Broadwood,Many To One Map,001,Far North District,NA
101801,Whakarara,Many To One Map,001,Far North District,NA
101900,Kaeo,Many To One Map,001,Far North District,NA
102000,Omahuta Forest-Horeke,Many To One Map,001,Far North District,NA
102100,Hokianga South,Many To One Map,001,Far North District,NA
102201,Lake Manuwai-Kapiro,Many To One Map,001,Far North District,NA
102300,Okaihau,Many To One Map,001,Far North District,NA
102401,Rangitane-Purerua,Many To One Map,001,Far North District,NA
102501,Waipapa,Many To One Map,001,Far North District,NA
102600,Puketotara,Many To One Map,001,Far North District,NA
102700,Waima Forest,Many To One Map,001,Far North District,NA
102801,Riverview,Many To One Map,001,Far North District,NA
102900,Waipoua Forest,Many To One Map,001,Far North District,NA
103000,Kerikeri Central,Many To One Map,001,Far North District,NA
103101,Kerikeri South,Many To One Map,001,Far North District,NA
103200,Ohaeawai-Waimate North,Many To One Map,001,Far North District,NA
103301,Puketona-Waitangi,Many To One Map,001,Far North District,NA
103401,Ngapuhi,Many To One Map,001,Far North District,NA
103501,Kaikohe,Many To One Map,001,Far North District,NA
103600,Pakaraka,Many To One Map,001,Far North District,NA
103700,Haruru,Many To One Map,001,Far North District,NA
103800,Russell,Many To One Map,001,Far North District,NA
103900,Paihia,Many To One Map,001,Far North District,NA
104000,Mataraua Forest,Many To One Map,001,Far North District,NA
104101,Matawaia-Taumarere,Many To One Map,001,Far North District,NA
104200,Russell Peninsula,Many To One Map,001,Far North District,NA
104301,Opua (Far North District),Many To One Map,001,Far North District,NA
104400,Russell Forest-Rawhiti,Many To One Map,001,Far North District,NA
104501,Moerewa,Many To One Map,001,Far North District,NA
104600,Kawakawa,Many To One Map,001,Far North District,NA
104700,Maromaku,Many To One Map,001,Far North District,NA
104800,Mangakahia-Hukerenui,Many To One Map,002,Whangarei District,NA
104900,Whangaruru,Many To One Map,002,Whangarei District,NA
105001,Inlets other Whangarei District,Many To One Map,002,Whangarei District,NA
105101,Matarau,Many To One Map,002,Whangarei District,NA
105200,Hikurangi,Many To One Map,002,Whangarei District,NA
105300,Kauri,Many To One Map,002,Whangarei District,NA
105400,Maungatapere,Many To One Map,002,Whangarei District,NA
105500,Kamo West,Many To One Map,002,Whangarei District,NA
105601,Matapouri-Tutukaka,Many To One Map,002,Whangarei District,NA
105700,Kiripaka,Many To One Map,002,Whangarei District,NA
105800,Kamo East,Many To One Map,002,Whangarei District,NA
105901,Granfield Reserve,Many To One Map,002,Whangarei District,NA
106000,Kamo Central,Many To One Map,002,Whangarei District,NA
106100,Whau Valley,Many To One Map,002,Whangarei District,NA
106201,Tikipunga North,Many To One Map,002,Whangarei District,NA
106301,Pukenui,Many To One Map,002,Whangarei District,NA
106401,Otangarei,Many To One Map,002,Whangarei District,NA
106501,Tikipunga South,Many To One Map,002,Whangarei District,NA
106600,Kensington (Whangarei District),Many To One Map,002,Whangarei District,NA
106700,Abbey Caves-Glenbervie,Many To One Map,002,Whangarei District,NA
106800,Mairtown,Many To One Map,002,Whangarei District,NA
106901,Maunu,Many To One Map,002,Whangarei District,NA
106902,Horahora,Many To One Map,002,Whangarei District,NA
107000,Woodhill-Vinetown,Many To One Map,002,Whangarei District,NA
107100,Whangarei Central,Many To One Map,002,Whangarei District,NA
107200,Riverside,Many To One Map,002,Whangarei District,NA
107300,Raumanga,Many To One Map,002,Whangarei District,NA
107401,Tarewa,Many To One Map,002,Whangarei District,NA
107501,Morningside (Whangarei District),Many To One Map,002,Whangarei District,NA
107600,Ngunguru,Many To One Map,002,Whangarei District,NA
107700,Otaika-Portland,Many To One Map,002,Whangarei District,NA
107800,Oakleigh-Mangapai,Many To One Map,002,Whangarei District,NA
107901,Port-Limeburners,Many To One Map,002,Whangarei District,NA
108000,Pataua,Many To One Map,002,Whangarei District,NA
108100,Onerahi Park,Many To One Map,002,Whangarei District,NA
108200,Sherwood Rise,Many To One Map,002,Whangarei District,NA
108300,Onerahi,Many To One Map,002,Whangarei District,NA
108400,Inlet Whangarei Harbour,Many To One Map,002,Whangarei District,NA
108500,Parua Bay,Many To One Map,002,Whangarei District,NA
108601,Bream Bay,Many To One Map,002,Whangarei District,NA
108701,One Tree Point,Many To One Map,002,Whangarei District,NA
108800,Ruakaka,Many To One Map,002,Whangarei District,NA
108900,Bream Head,Many To One Map,002,Whangarei District,NA
109003,Waipu,Many To One Map,002,Whangarei District,NA
109004,Waipu Rural,Many To One Map,002,Whangarei District,NA
109101,Kaipara Coastal,Many To One Map,003,Kaipara District,NA
109200,Maungaru,Many To One Map,003,Kaipara District,NA
109301,Dargaville,Many To One Map,003,Kaipara District,NA
109400,Ruawai-Matakohe,Many To One Map,003,Kaipara District,NA
109500,Otamatea (Kaipara District),Many To One Map,003,Kaipara District,NA
109600,Maungaturoto,Many To One Map,003,Kaipara District,NA
109700,Kaiwaka,Many To One Map,003,Kaipara District,NA
109800,Mangawhai Rural,Many To One Map,003,Kaipara District,NA
109900,Mangawhai Heads,Many To One Map,003,Kaipara District,NA
110000,Inlet Mangawhai Harbour,Many To One Map,003,Kaipara District,NA
110100,Mangawhai,Many To One Map,003,Kaipara District,NA
110201,Okahukura Peninsula,Many To One Map,076,Auckland,NA
110300,Inlet Kaipara Harbour South,Many To One Map,076,Auckland,NA
110400,Cape Rodney,Many To One Map,076,Auckland,NA
110501,Wellsford,Many To One Map,076,Auckland,NA
110600,Oceanic Auckland Region East,Many To One Map,076,Auckland,NA
110700,South Head,Many To One Map,076,Auckland,NA
110800,Kaipara Hills,Many To One Map,076,Auckland,NA
110900,Dome Valley-Matakana,Many To One Map,076,Auckland,NA
111000,Oceanic Auckland Region West,Many To One Map,076,Auckland,NA
111100,Warkworth West,Many To One Map,076,Auckland,NA
111200,Puhoi Valley,Many To One Map,076,Auckland,NA
111300,Warkworth East,Many To One Map,076,Auckland,NA
111400,Sandspit,Many To One Map,076,Auckland,NA
111500,Tawharanui Peninsula,Many To One Map,076,Auckland,NA
111601,Kaukapakapa,Many To One Map,076,Auckland,NA
111602,Kaukapakapa Rural,Many To One Map,076,Auckland,NA
111700,Snells Beach,Many To One Map,076,Auckland,NA
111801,Barrier Islands,Many To One Map,076,Auckland,NA
111901,Mahurangi Peninsula,Many To One Map,076,Auckland,NA
112001,Inlets other Auckland,Many To One Map,076,Auckland,NA
112101,Wainui-Waiwera,Many To One Map,076,Auckland,NA
112102,Ara Hill,Many To One Map,076,Auckland,NA
112200,Parakai,Many To One Map,076,Auckland,NA
112301,Helensville Rural,Many To One Map,076,Auckland,NA
112401,Helensville,Many To One Map,076,Auckland,NA
112500,Waitoki,Many To One Map,076,Auckland,NA
112600,Waikoukou Valley,Many To One Map,076,Auckland,NA
112701,Orewa North,Many To One Map,076,Auckland,NA
112702,Orewa West,Many To One Map,076,Auckland,NA
112800,Hatfields Beach,Many To One Map,076,Auckland,NA
112901,Orewa South,Many To One Map,076,Auckland,NA
112902,Millwater North,Many To One Map,076,Auckland,NA
113000,Orewa Central,Many To One Map,076,Auckland,NA
113101,Millwater Central,Many To One Map,076,Auckland,NA
113201,Waipatukahu,Many To One Map,076,Auckland,NA
113300,Millwater South,Many To One Map,076,Auckland,NA
113401,Milldale,Many To One Map,076,Auckland,NA
