UR_Code,Area_Name,Relationship,Indicator_Code,Indicator_Description,X6
1001,Pukenui,Many To One Map,21,Rural settlement,NA
1002,Kaimaumau,Many To One Map,21,Rural settlement,NA
1003,Tokerau Beach,Many To One Map,21,Rural settlement,NA
1004,Karikari,Many To One Map,21,Rural settlement,NA
1005,Awanui,Many To One Map,21,Rural settlement,NA
1006,Ahipara,Many To One Map,14,Small urban area,NA
1007,Kaitaia,Many To One Map,14,Small urban area,NA
1008,Taipa,Many To One Map,21,Rural settlement,NA
1009,Cable Bay,Many To One Map,21,Rural settlement,NA
1010,Coopers Beach,Many To One Map,21,Rural settlement,NA
1011,Hihi,Many To One Map,21,Rural settlement,NA
1012,Mangonui,Many To One Map,21,Rural settlement,NA
1013,Other rural Far North District,Many To One Map,22,Rural other,NA
1014,Whangaroa,Many To One Map,21,Rural settlement,NA
1015,Inlets Far North District,Many To One Map,32,Inlet,NA
1016,Kaeo,Many To One Map,21,Rural settlement,NA
1017,Kohukohu,Many To One Map,21,Rural settlement,NA
1018,Rawene,Many To One Map,21,Rural settlement,NA
1019,Opononi,Many To One Map,21,Rural settlement,NA
1020,Omapere,Many To One Map,21,Rural settlement,NA
1021,Okaihau,Many To One Map,21,Rural settlement,NA
1022,Waipapa,Many To One Map,21,Rural settlement,NA
1023,Inland water Far North District,Many To One Map,31,Inland water,NA
1024,Rangitane,Many To One Map,21,Rural settlement,NA
1025,Kerikeri,Many To One Map,14,Small urban area,NA
1026,Kaikohe,Many To One Map,14,Small urban area,NA
1027,Kerikeri Inlet,Many To One Map,21,Rural settlement,NA
1028,Ohaeawai,Many To One Map,21,Rural settlement,NA
1029,Ngawha Springs,Many To One Map,21,Rural settlement,NA
1030,Waitangi (Far North District),Many To One Map,21,Rural settlement,NA
1031,Haruru,Many To One Map,14,Small urban area,NA
1032,Paihia,Many To One Map,14,Small urban area,NA
1033,Russell,Many To One Map,21,Rural settlement,NA
1034,Opua,Many To One Map,14,Small urban area,NA
1035,Moerewa,Many To One Map,14,Small urban area,NA
1036,Okiato,Many To One Map,21,Rural settlement,NA
1037,Kawakawa,Many To One Map,14,Small urban area,NA
1038,Oakura-Whangaruru South,Many To One Map,21,Rural settlement,NA
1039,Hikurangi,Many To One Map,14,Small urban area,NA
1040,Other rural Whangarei District,Many To One Map,22,Rural other,NA
1041,Maungatapere,Many To One Map,21,Rural settlement,NA
1042,Matapouri,Many To One Map,21,Rural settlement,NA
1043,Whangarei,Many To One Map,12,Large urban area,NA
1044,Ngunguru,Many To One Map,14,Small urban area,NA
1045,Inlets Whangarei District,Many To One Map,32,Inlet,NA
1046,Tutukaka,Many To One Map,21,Rural settlement,NA
1047,Pataua,Many To One Map,21,Rural settlement,NA
1048,Parua Bay,Many To One Map,21,Rural settlement,NA
1049,One Tree Point,Many To One Map,14,Small urban area,NA
1050,Ruakaka,Many To One Map,14,Small urban area,NA
1051,Whangarei Heads,Many To One Map,21,Rural settlement,NA
1052,Waipu,Many To One Map,14,Small urban area,NA
1053,Waipu Cove-Langs Beach,Many To One Map,21,Rural settlement,NA
1054,Baylys Beach,Many To One Map,21,Rural settlement,NA
1055,Dargaville,Many To One Map,14,Small urban area,NA
1056,Te Kopuru,Many To One Map,21,Rural settlement,NA
1057,Other rural Kaipara District,Many To One Map,22,Rural other,NA
1058,Ruawai,Many To One Map,21,Rural settlement,NA
1059,Paparoa,Many To One Map,21,Rural settlement,NA
1060,Pahi,Many To One Map,21,Rural settlement,NA
1061,Maungaturoto,Many To One Map,21,Rural settlement,NA
1062,Kaiwaka,Many To One Map,21,Rural settlement,NA
1063,Mangawhai Heads,Many To One Map,14,Small urban area,NA
1064,Mangawhai,Many To One Map,14,Small urban area,NA
1065,Inlet Kaipara District,Many To One Map,32,Inlet,NA
1066,Port Albert,Many To One Map,21,Rural settlement,NA
1067,Te Hana,Many To One Map,21,Rural settlement,NA
1068,Wellsford,Many To One Map,14,Small urban area,NA
1069,Kaipara Flats,Many To One Map,21,Rural settlement,NA
1070,Shelly Beach,Many To One Map,21,Rural settlement,NA
1071,Warkworth,Many To One Map,14,Small urban area,NA
1072,Matakana,Many To One Map,21,Rural settlement,NA
1073,Whangateau,Many To One Map,21,Rural settlement,NA
1074,Point Wells,Many To One Map,21,Rural settlement,NA
1075,Leigh,Many To One Map,21,Rural settlement,NA
1076,Ti Point,Many To One Map,21,Rural settlement,NA
1077,Rainbows End,Many To One Map,21,Rural settlement,NA
1078,Omaha,Many To One Map,21,Rural settlement,NA
1079,Sandspit,Many To One Map,21,Rural settlement,NA
1080,Baddeleys Beach-Campbells Beach,Many To One Map,21,Rural settlement,NA
1081,Parakai,Many To One Map,14,Small urban area,NA
1082,Snells Beach,Many To One Map,14,Small urban area,NA
1083,Kaukapakapa,Many To One Map,21,Rural settlement,NA
1084,Puhoi,Many To One Map,21,Rural settlement,NA
1085,Helensville,Many To One Map,14,Small urban area,NA
1086,Scotts Landing-Mahurangi East,Many To One Map,21,Rural settlement,NA
1087,Algies Bay,Many To One Map,21,Rural settlement,NA
1088,Mahurangi West,Many To One Map,21,Rural settlement,NA
1089,Waiwera,Many To One Map,21,Rural settlement,NA
1090,Kawau Island,Many To One Map,21,Rural settlement,NA
1091,Waimauku,Many To One Map,14,Small urban area,NA
1092,Muriwai,Many To One Map,14,Small urban area,NA
1093,Hibiscus Coast,Many To One Map,12,Large urban area,NA
1094,Kumeu-Huapai,Many To One Map,14,Small urban area,NA
1095,Stillwater,Many To One Map,21,Rural settlement,NA
1096,Inlets Auckland,Many To One Map,32,Inlet,NA
1097,Riverhead,Many To One Map,14,Small urban area,NA
1098,Other rural Auckland,Many To One Map,22,Rural other,NA
1099,Bethells Beach,Many To One Map,21,Rural settlement,NA
1100,Okura,Many To One Map,21,Rural settlement,NA
1101,Paremoremo,Many To One Map,21,Rural settlement,NA
1102,Piha,Many To One Map,21,Rural settlement,NA
1103,Karekare,Many To One Map,21,Rural settlement,NA
1104,Inland water Auckland,Many To One Map,31,Inland water,NA
1105,Huia,Many To One Map,21,Rural settlement,NA
1106,Parau,Many To One Map,21,Rural settlement,NA
1107,Medlands Beach,Many To One Map,21,Rural settlement,NA
1108,Auckland,Many To One Map,11,Major urban area,NA
1109,Tryphena,Many To One Map,21,Rural settlement,NA
1110,Big Bay-Grahams Beach,Many To One Map,21,Rural settlement,NA
1111,Waiheke West,Many To One Map,14,Small urban area,NA
1112,Matakawau Point,Many To One Map,21,Rural settlement,NA
1113,Omiha,Many To One Map,21,Rural settlement,NA
1114,Clarks Beach,Many To One Map,14,Small urban area,NA
1115,Beachlands-Pine Harbour,Many To One Map,14,Small urban area,NA
1116,Maraetai,Many To One Map,14,Small urban area,NA
1117,Glenbrook Beach,Many To One Map,21,Rural settlement,NA
1118,Waiau Pa,Many To One Map,21,Rural settlement,NA
1119,Kingseat,Many To One Map,21,Rural settlement,NA
1120,Clevedon,Many To One Map,21,Rural settlement,NA
1121,Waiuku,Many To One Map,14,Small urban area,NA
1122,Patumahoe,Many To One Map,14,Small urban area,NA
1123,Paerata,Many To One Map,21,Rural settlement,NA
1124,Kawakawa Bay,Many To One Map,21,Rural settlement,NA
1125,Pukekohe,Many To One Map,13,Medium urban area,NA
1126,Orere Point,Many To One Map,21,Rural settlement,NA
1127,Bombay,Many To One Map,21,Rural settlement,NA
1128,Coromandel,Many To One Map,14,Small urban area,NA
1129,Whangapoua,Many To One Map,21,Rural settlement,NA
1130,Matarangi,Many To One Map,21,Rural settlement,NA
1131,Rings Beach,Many To One Map,21,Rural settlement,NA
1132,Inlets Thames-Coromandel District,Many To One Map,32,Inlet,NA
1133,Kuaotunu,Many To One Map,21,Rural settlement,NA
1134,Whitianga,Many To One Map,14,Small urban area,NA
1135,Tapu,Many To One Map,21,Rural settlement,NA
1136,Cooks Beach-Ferry Landing,Many To One Map,21,Rural settlement,NA
